logFoldChange,adjustPValue,Cluster,Gene
4.115420463,0,CTRL_5_NK-CD8 T,GNLY
4.069750211,0,STIM_6_NK-CD8 T,GNLY
3.382102919,0,CTRL_5_NK-CD8 T,NKG7
3.308748506,0,STIM_12_pDC,TSPAN13
3.271400337,0,STIM_11_Mk,PPBP
3.122927703,0,STIM_6_NK-CD8 T,NKG7
3.099722217,0,STIM_6_NK-CD8 T,GZMB
3.084702796,0,STIM_7_CD16 Mono,VMO1
3.034819821,0,CTRL_5_NK-CD8 T,CCL5
3.011274083,8.54E-207,CTRL_10_Mk,PPBP
2.960123742,0,CTRL_4_CD16 Mono,VMO1
2.951256432,0,CTRL_5_NK-CD8 T,GZMB
2.922249014,2.30E-19,CTRL_12_pDC,TXN
2.916560976,5.07E-233,STIM_10_B Activated,MIR155HG
2.830534124,0,STIM_7_CD16 Mono,FCGR3A
2.828154101,0,STIM_6_NK-CD8 T,CCL5
2.828082498,3.07E-126,CTRL_11_Mk,PPBP
2.816397274,0,STIM_6_NK-CD8 T,PRF1
2.79395559,3.79E-36,STIM_12_pDC,TXN
2.7225259,1.31E-73,CTRL_12_pDC,GZMB
2.721157096,0,CTRL_9_B Activated,MIR155HG
2.679965606,0,STIM_12_pDC,PTGDS
2.662917563,0,CTRL_12_pDC,TSPAN13
2.648423868,3.43E-96,STIM_5_B,IGLL5
2.625552489,2.65E-125,CTRL_12_pDC,PTGDS
2.61393364,0,CTRL_6_B,CD79A
2.50732299,1.59E-134,STIM_12_pDC,GZMB
2.499259193,2.59E-268,CTRL_12_pDC,IGJ
2.425961037,1.69E-107,STIM_10_B Activated,MYC
2.421882025,4.49E-69,CTRL_12_pDC,TNFRSF4
2.379691809,0,CTRL_2_CD14 Mono,CCL2
2.372284378,0,STIM_7_CD16 Mono,MS4A7
2.369260197,0,CTRL_4_CD16 Mono,FCGR3A
2.365600002,0,STIM_11_Mk,PF4
2.35725083,1.02E-202,STIM_12_pDC,ITM2C
2.278234839,0,STIM_5_B,CD79A
2.269596139,0,CTRL_5_NK-CD8 T,FGFBP2
2.243796311,4.45E-50,STIM_12_pDC,SEC61B
2.243429546,7.43E-280,CTRL_10_Mk,PF4
2.241468302,0,CTRL_5_NK-CD8 T,APOBEC3G
2.239777629,1.54E-145,STIM_9_DC,HLA-DPB1
2.237503209,3.45E-52,CTRL_7_T activated,HSPB1
2.231559107,1.67E-24,CTRL_12_pDC,SEC61B
2.211226943,0,STIM_11_Mk,GNG11
2.209528983,0,STIM_7_CD16 Mono,MS4A4A
2.194036186,0,CTRL_5_NK-CD8 T,CST7
2.175354672,2.60E-198,CTRL_10_Mk,GNG11
2.166574357,8.34E-113,CTRL_9_B Activated,MYC
2.159253054,1.60E-99,STIM_9_DC,TXN
2.148440842,1.62E-137,STIM_9_DC,MARCKSL1
2.125894537,0,STIM_6_NK-CD8 T,GZMA
2.112297112,0,CTRL_5_NK-CD8 T,CLIC3
2.102756826,0,STIM_12_pDC,IGJ
2.097546792,1.74E-151,CTRL_8_DC,HLA-DPB1
2.095308069,5.89E-153,CTRL_8_DC,HLA-DPA1
2.091967613,8.68E-140,CTRL_8_DC,LYZ
2.07794477,7.21E-110,STIM_10_B Activated,HLA-DQA1
2.073708904,0,STIM_0_CD14 Mono,CCL7
2.07000739,4.05E-205,CTRL_8_DC,HLA-DQA1
2.065096234,0,CTRL_4_CD16 Mono,MS4A7
2.064108572,4.47E-41,STIM_12_pDC,HERPUD1
2.063646971,2.75E-210,CTRL_4_CD16 Mono,CXCL10
2.046116134,0,CTRL_5_NK-CD8 T,GZMH
2.034441134,1.26E-227,STIM_9_DC,HLA-DQA1
2.031668708,0,STIM_6_NK-CD8 T,GZMH
2.031417742,4.66E-63,CTRL_8_DC,TXN
2.025815525,2.97E-149,STIM_12_pDC,P2RY6
2.002280414,0,STIM_6_NK-CD8 T,KLRD1
2.001548202,9.07E-135,STIM_9_DC,HLA-DPA1
2.000099578,1.58E-132,STIM_9_DC,HLA-DRA
1.992134905,0,STIM_6_NK-CD8 T,CST7
1.975874756,3.32E-64,STIM_12_pDC,IRF8
1.975714933,0,STIM_7_CD16 Mono,CXCL16
1.9739802,0,STIM_6_NK-CD8 T,CLIC3
1.973375774,0,STIM_11_Mk,SDPR
1.972478419,4.24E-73,STIM_12_pDC,TCL1A
1.96854129,6.90E-133,CTRL_7_T activated,HSPH1
1.96038867,6.61E-247,CTRL_10_Mk,SDPR
1.955488266,3.49E-53,CTRL_12_pDC,SERPINF1
1.953962714,0,CTRL_6_B,MS4A1
1.949192215,0,CTRL_9_B Activated,NME1
1.945345269,8.88E-113,STIM_10_B Activated,ID3
1.941787296,7.63E-278,STIM_10_B Activated,NME1
1.936776911,2.74E-89,CTRL_8_DC,IDO1
1.925258049,3.72E-207,CTRL_2_CD14 Mono,CCL7
1.923498234,1.31E-111,STIM_10_B Activated,CD83
1.923198278,9.93E-77,STIM_12_pDC,CLIC3
1.91432234,2.21E-149,CTRL_9_B Activated,HLA-DQA1
1.912477032,4.70E-142,CTRL_8_DC,HLA-DRA
1.911540017,1.01E-93,CTRL_6_B,IGLL5
1.908729674,1.13E-197,CTRL_11_Mk,GNG11
1.896563376,6.53E-177,CTRL_9_B Activated,CD83
1.89119734,0,STIM_6_NK-CD8 T,CTSW
1.886655522,0,STIM_0_CD14 Mono,CCL2
1.878839211,0,STIM_1_CD14 Mono,CCL4
1.875659908,1.24E-110,CTRL_9_B Activated,HERPUD1
1.873474775,1.93E-199,CTRL_11_Mk,PF4
1.870825839,2.58E-86,CTRL_7_T activated,HSPE1
1.870240736,0,CTRL_5_NK-CD8 T,KLRD1
1.868635195,8.14E-298,CTRL_2_CD14 Mono,CXCL3
1.862221077,2.30E-112,CTRL_7_T activated,CACYBP
1.850342735,0,CTRL_5_NK-CD8 T,CTSW
1.847322454,0,STIM_1_CD14 Mono,CCL3
1.843056639,4.33E-253,CTRL_8_DC,IL1R2
1.841549909,5.00E-119,STIM_9_DC,CD74
1.836826942,0,STIM_12_pDC,SERPINF1
1.833610767,1.58E-129,STIM_9_DC,HLA-DRB1
1.823502149,1.17E-72,CTRL_7_T activated,GADD45B
1.818204898,1.60E-79,CTRL_12_pDC,ITM2C
1.801921373,1.03E-302,CTRL_5_NK-CD8 T,GZMA
1.790593972,1.23E-15,CTRL_7_T activated,HSPA1A
1.785698636,1.61E-157,CTRL_12_pDC,TCF4
1.785573264,0,STIM_5_B,MS4A1
1.780868594,2.94E-127,CTRL_7_T activated,CD69
1.780167249,0,CTRL_2_CD14 Mono,CTSL
1.776857475,1.38E-127,CTRL_8_DC,CD74
1.771108151,1.75E-135,CTRL_8_DC,HLA-DRB1
1.770079753,2.50E-104,CTRL_9_B Activated,ID3
1.767023225,2.31E-250,STIM_6_NK-CD8 T,APOBEC3G
1.763792269,0,CTRL_0_CD14 Mono,S100A8
1.735869362,0,CTRL_4_CD16 Mono,FAM26F
1.735668364,7.29E-38,CTRL_12_pDC,STMN1
1.735215772,0,STIM_12_pDC,SCT
1.726726444,5.56E-87,STIM_8_T activated,CACYBP
1.714528149,0,STIM_12_pDC,CCL19
1.711926669,2.46E-62,STIM_8_T activated,GADD45B
1.710104655,7.38E-150,CTRL_8_DC,HLA-DQB1
1.702863234,0,STIM_0_CD14 Mono,CCL8
1.702559738,0,STIM_1_CD14 Mono,SOD2
1.686442229,0,CTRL_5_NK-CD8 T,PRF1
1.68171927,2.14E-26,CTRL_12_pDC,HLA-DQA1
1.678432774,4.37E-67,CTRL_7_T activated,HSPD1
1.674031741,0,STIM_0_CD14 Mono,SDS
1.6705261,8.78E-141,CTRL_2_CD14 Mono,CXCL1
1.670142727,0,STIM_12_pDC,DNASE1L3
1.66729802,0,STIM_0_CD14 Mono,CTSB
1.664687401,3.17E-50,STIM_12_pDC,COX5A
1.655344319,2.44E-164,STIM_9_DC,HLA-DQB1
1.655095589,0,STIM_12_pDC,LILRA4
1.653705392,0,STIM_11_Mk,NRGN
1.649377176,2.77E-76,STIM_8_T activated,CD69
1.648795365,2.01E-125,STIM_9_DC,CST3
1.646562518,0,STIM_1_CD14 Mono,CCL8
1.646398038,1.17E-88,CTRL_7_T activated,SRSF7
1.646058386,1.45E-105,STIM_9_DC,LYZ
1.64516876,0,STIM_0_CD14 Mono,LGALS3
1.642224421,0,STIM_0_CD14 Mono,CTSL
1.6368082,2.49E-78,STIM_10_B Activated,IRF8
1.63677548,6.06E-208,CTRL_11_Mk,SDPR
1.62915637,1.42E-94,STIM_9_DC,SERPINB1
1.627403976,0,CTRL_6_B,CD79B
1.624029222,0,CTRL_8_DC,CCL22
1.621118324,0,STIM_12_pDC,CLEC4C
1.619264405,0,CTRL_4_CD16 Mono,AIF1
1.616861527,0,STIM_1_CD14 Mono,IDO1
1.614330009,6.10E-74,STIM_10_B Activated,NPM1
1.611905875,3.75E-93,STIM_1_CD14 Mono,APOBEC3B
1.60820302,1.39E-249,CTRL_9_B Activated,TVP23A
1.606121272,1.35E-251,CTRL_4_CD16 Mono,TNFSF10
1.602167748,6.23E-112,STIM_8_T activated,SRSF2
1.59809838,3.60E-83,STIM_10_B Activated,RAN
1.595122268,3.16E-115,CTRL_7_T activated,SRSF2
1.593066649,4.00E-160,CTRL_10_Mk,NRGN
1.590962532,3.04E-108,STIM_10_B Activated,RANBP1
1.590706918,0,STIM_7_CD16 Mono,LST1
1.590215825,1.16E-81,CTRL_7_T activated,HSPA8
1.588283463,0,CTRL_4_CD16 Mono,LST1
1.583457185,8.09E-19,CTRL_12_pDC,HERPUD1
1.579139841,0,STIM_12_pDC,SMPD3
1.578009841,0,CTRL_4_CD16 Mono,CXCL16
1.577064214,1.56E-88,CTRL_7_T activated,ZFAND2A
1.576187646,0,STIM_12_pDC,MYBL2
1.569270388,9.41E-35,STIM_10_B Activated,DUSP2
1.568338101,5.78E-17,CTRL_12_pDC,TCL1A
1.563919332,3.10E-172,CTRL_12_pDC,TRAF4
1.561220399,4.17E-189,CTRL_6_B,CD74
1.561176206,1.58E-87,STIM_10_B Activated,DUSP4
1.560307423,7.27E-67,CTRL_12_pDC,MGLL
1.559717512,0,STIM_0_CD14 Mono,S100A9
1.557839493,4.26E-90,CTRL_7_T activated,CREM
1.556463882,3.20E-102,CTRL_7_T activated,RSRC2
1.550412288,1.89E-179,CTRL_8_DC,HLA-DMA
1.54618098,1.45E-75,STIM_10_B Activated,YBX1
1.544494533,1.07E-142,STIM_10_B Activated,PRMT1
1.542209742,0,STIM_12_pDC,MAP1A
1.540800927,1.57E-92,CTRL_7_T activated,YPEL5
1.539195473,0,STIM_0_CD14 Mono,FTL
1.537613395,1.50E-49,CTRL_7_T activated,DNAJB1
1.534416494,2.07E-87,STIM_10_B Activated,FABP5
1.529169116,6.63E-98,STIM_8_T activated,BIRC3
1.52579659,2.50E-30,CTRL_12_pDC,ALDH2
1.524694335,2.11E-22,CTRL_12_pDC,ALOX5AP
1.521432941,3.35E-74,STIM_8_T activated,HSPH1
1.52140373,8.53E-199,CTRL_5_NK-CD8 T,CXCR3
1.521266598,1.25E-66,CTRL_9_B Activated,HLA-DQB1
1.521107994,6.66E-17,CTRL_12_pDC,CD74
1.5167107,1.37E-70,STIM_8_T activated,SRSF7
1.512705577,1.04E-87,CTRL_9_B Activated,REL
1.510698678,1.66E-131,STIM_10_B Activated,SRM
1.510462943,7.21E-76,STIM_10_B Activated,HSPE1
1.507621575,0,STIM_0_CD14 Mono,S100A8
1.507552866,8.53E-63,CTRL_7_T activated,HSP90AB1
1.506910715,9.73E-262,STIM_6_NK-CD8 T,FGFBP2
1.503580655,1.48E-19,CTRL_12_pDC,HLA-DQB1
1.502096365,4.91E-124,CTRL_9_B Activated,NHP2
1.501863697,0,CTRL_0_CD14 Mono,S100A9
1.498777932,2.60E-95,CTRL_8_DC,HLA-DRB5
1.497560691,7.95E-124,STIM_12_pDC,TCF4
1.496047991,4.60E-191,CTRL_5_NK-CD8 T,HOPX
1.494968232,8.23E-126,CTRL_10_Mk,TUBB1
1.49437941,4.44E-98,STIM_12_pDC,PPP1R14B
1.493052626,1.75E-258,STIM_7_CD16 Mono,AIF1
1.489929266,4.92E-51,STIM_8_T activated,HSPE1
1.487721105,1.40E-21,CTRL_12_pDC,CYB561A3
1.486343114,0,CTRL_2_CD14 Mono,PLA2G7
1.483719327,5.85E-107,CTRL_9_B Activated,FABP5
1.48316739,3.92E-285,STIM_7_CD16 Mono,C3AR1
1.483017108,5.99E-93,CTRL_7_T activated,CLK1
1.481805221,2.68E-118,CTRL_9_B Activated,PRMT1
1.478207877,1.78E-28,STIM_12_pDC,PLAC8
1.477777015,0,CTRL_1_CD4 Naive T,SELL
1.476414157,0,STIM_1_CD14 Mono,TNFAIP6
1.475463132,8.33E-235,STIM_12_pDC,PLD4
1.473013942,6.14E-69,STIM_8_T activated,DDIT4
1.467773131,0,CTRL_8_DC,PKIB
1.466594285,3.18E-101,STIM_10_B Activated,NHP2
1.465555092,2.58E-36,STIM_12_pDC,VIMP
1.464380894,1.13E-112,STIM_9_DC,CD83
1.462127858,2.11E-71,STIM_10_B Activated,HSPD1
1.461236774,6.47E-83,STIM_10_B Activated,REL
1.459994065,0,STIM_1_CD14 Mono,IL1RN
1.45993297,1.75E-54,STIM_8_T activated,RGS1
1.456715396,7.43E-245,STIM_7_CD16 Mono,FAM26F
1.456035325,1.42E-34,STIM_12_pDC,CD74
1.455163022,5.30E-12,CTRL_12_pDC,BID
1.454899759,1.71E-118,CTRL_9_B Activated,MS4A1
1.454645043,5.67E-272,STIM_11_Mk,TUBB1
1.452819417,7.86E-44,CTRL_12_pDC,P2RY6
1.451668799,0,CTRL_4_CD16 Mono,MS4A4A
1.451561967,0,CTRL_2_CD14 Mono,IL8
1.451347477,2.05E-67,CTRL_7_T activated,CHORDC1
1.451053824,5.21E-72,CTRL_9_B Activated,NPM1
1.450225166,2.06E-119,CTRL_7_T activated,NR4A2
1.449658464,2.08E-24,CTRL_12_pDC,HLA-DMA
1.449186402,4.49E-19,CTRL_12_pDC,PARK7
1.446627824,0,STIM_1_CD14 Mono,CCL2
1.445111568,5.93E-129,STIM_6_NK-CD8 T,LAG3
1.444695729,0,STIM_0_CD14 Mono,HPSE
1.44420962,5.07E-195,CTRL_5_NK-CD8 T,CHST12
1.443533199,6.62E-174,STIM_9_DC,HLA-DMA
1.442252236,2.36E-111,STIM_8_T activated,RSRC2
1.441260889,0,STIM_1_CD14 Mono,CLEC4E
1.437114019,5.08E-303,CTRL_2_CD14 Mono,CXCL2
1.434556611,3.98E-44,STIM_12_pDC,HLA-DMA
1.433316305,0,CTRL_2_CD14 Mono,LGALS3
1.433020036,2.06E-92,CTRL_7_T activated,BIRC3
1.432076293,1.19E-185,STIM_5_B,IRF8
1.430543125,0,STIM_0_CD14 Mono,MS4A6A
1.429677437,2.18E-143,CTRL_10_Mk,ACRBP
1.429215862,9.97E-83,STIM_12_pDC,LGMN
1.428382949,0,STIM_0_CD14 Mono,LYZ
1.426946457,9.77E-243,CTRL_4_CD16 Mono,HN1
1.426421797,1.17E-132,CTRL_2_CD14 Mono,CCL3
1.425405917,0,STIM_0_CD14 Mono,APOBEC3A
1.425262083,4.67E-85,CTRL_9_B Activated,HSP90AB1
1.425009612,0,STIM_6_NK-CD8 T,FASLG
1.423901121,5.27E-90,CTRL_7_T activated,TRAT1
1.423252674,5.54E-159,CTRL_11_Mk,ACRBP
1.421529712,7.32E-187,CTRL_12_pDC,PLD4
1.42073434,4.14E-98,STIM_8_T activated,CLK1
1.418637391,1.26E-137,CTRL_9_B Activated,SRM
1.416170949,2.70E-83,CTRL_7_T activated,TCP1
1.413058705,5.17E-78,CTRL_7_T activated,SOD1
1.41266781,1.41E-112,CTRL_7_T activated,NOP58
1.410748641,0,STIM_0_CD14 Mono,PLA2G7
1.410564205,6.36E-31,CTRL_7_T activated,HSPA1B
1.410032598,4.68E-85,CTRL_7_T activated,UBC
1.406440834,2.69E-236,CTRL_4_CD16 Mono,IFITM3
1.40579586,0,STIM_0_CD14 Mono,S100A4
1.404947354,7.64E-97,CTRL_9_B Activated,IRF8
1.404376348,2.40E-260,STIM_5_B,CD74
1.398468908,7.55E-44,CTRL_7_T activated,MRPL18
1.398398604,5.19E-234,STIM_10_B Activated,TVP23A
1.397812863,1.10E-186,STIM_7_CD16 Mono,CTSC
1.397070682,2.56E-67,CTRL_9_B Activated,RAN
1.396076118,7.55E-83,CTRL_7_T activated,TSC22D3
1.395870258,0,STIM_1_CD14 Mono,NINJ1
1.395458518,9.85E-46,STIM_10_B Activated,HLA-DQB1
1.394552678,9.72E-137,STIM_8_T activated,BATF
1.394200122,2.54E-279,STIM_7_CD16 Mono,CD86
1.39387374,4.13E-21,CTRL_12_pDC,C12orf75
1.393497369,4.17E-72,STIM_0_CD14 Mono,APOBEC3B
1.393246527,0,CTRL_2_CD14 Mono,CTSB
1.392018989,1.93E-50,CTRL_7_T activated,DDIT4
1.390700613,7.34E-257,CTRL_4_CD16 Mono,C3AR1
1.389599021,4.60E-198,CTRL_4_CD16 Mono,GBP1
1.388666225,5.34E-91,STIM_8_T activated,SNHG8
1.386443557,2.06E-56,STIM_8_T activated,TCP1
1.385051669,8.70E-41,STIM_11_Mk,NCOA4
1.383786249,0,STIM_1_CD14 Mono,CXCL10
1.38330163,0,STIM_1_CD14 Mono,CXCL11
1.383194002,3.96E-256,STIM_7_CD16 Mono,CFD
1.380850952,3.34E-83,STIM_12_pDC,IDH3A
1.379614786,1.40E-90,CTRL_7_T activated,SNHG15
1.379191824,3.39E-107,CTRL_5_NK-CD8 T,TNFRSF18
1.379091829,8.70E-101,CTRL_6_B,CD83
1.37907061,0,CTRL_1_CD4 Naive T,GIMAP7
1.378642527,0,CTRL_2_CD14 Mono,SOD2
1.378489075,4.65E-267,CTRL_5_NK-CD8 T,KLRC1
1.378397749,7.06E-75,CTRL_7_T activated,UBB
1.376706601,1.41E-10,CTRL_12_pDC,CLIC3
1.375980485,1.53E-192,CTRL_2_CD14 Mono,SERPINB2
1.374837238,0,STIM_0_CD14 Mono,LGALS1
1.374581096,4.85E-31,CTRL_12_pDC,PPP1R14B
1.374091505,1.31E-77,STIM_10_B Activated,NCL
1.373419327,0,STIM_0_CD14 Mono,CD63
1.372814049,9.30E-109,STIM_10_B Activated,RPL22L1
1.372083812,1.10E-51,STIM_10_B Activated,HERPUD1
1.371213754,3.01E-223,CTRL_4_CD16 Mono,ADA
1.369973536,5.92E-37,STIM_12_pDC,PARK7
1.369688867,6.07E-130,CTRL_10_Mk,CLU
1.368922508,3.25E-56,CTRL_7_T activated,DNAJB6
1.368719197,4.91E-228,CTRL_4_CD16 Mono,ATP1B3
1.367742521,9.12E-36,STIM_12_pDC,HLA-DQB1
1.3675161,3.84E-144,STIM_6_NK-CD8 T,RARRES3
1.367009446,7.95E-40,STIM_8_T activated,HSPD1
1.366720534,0,CTRL_2_CD14 Mono,FTL
1.36611761,2.99E-268,STIM_7_CD16 Mono,SLC31A2
1.365642615,3.62E-193,CTRL_4_CD16 Mono,CTSC
1.364727323,0.021453074,STIM_10_B Activated,CCL3
1.363455489,3.59E-93,STIM_9_DC,FABP5
1.361051298,3.96E-134,CTRL_5_NK-CD8 T,RARRES3
1.360223808,0,STIM_1_CD14 Mono,C15orf48
1.359622273,1.41E-165,STIM_7_CD16 Mono,TNFAIP6
1.359009693,7.25E-27,STIM_12_pDC,IRF7
1.355651206,5.02E-67,STIM_10_B Activated,HSP90AB1
1.355499016,9.53E-282,STIM_7_CD16 Mono,SERPINA1
1.355251062,2.78E-23,CTRL_12_pDC,AKR1C3
1.354692634,1.30E-67,STIM_5_B,IGJ
1.350839829,1.20E-210,STIM_11_Mk,ACRBP
